,Jobs,Company,Location,Description
55,(Big) Data Engineer (m/w/d),Sopra Steria SE,"Bundesweit, Berlin, Frankfurt am Main, Hamburg, Köln, Leipzig, München","Gestaltung, Ausbau und Übernahme von fachlichen, technologischen und disziplinarischen Themenfeldern rund um (Big) Data Engineering"
56,Business Analyst - Sales (m/w/div),Rakuten Deutschland GmbH,Berlin,"Rakuten Deutschland GmbH * Berlin * Feste Anstellung * Vollzeit - Mit mehr als 11.000 Mitarbeitern und dem Geschäftssitz in Tokio ist die 1997 gegründete Unternehmensgruppe Rakuten, Inc. einer der weltweit führenden ..."
57,Data Analyst/Audience Development Manager (m/w/d) für Hamburg oder Berlin,ZEIT Online GmbH,Hamburg oder Berlin,Bereichern Sie unser Team als Data Analyst/Audience Development Manager (m/w/d) * Als Data Analyst bauen Sie – datenbasiert und testgestützt – die Reichweite und Verweildauer für Verlagsprodukte und ...
58,(Junior) Consultant Big Data (m/w/d),Deutsche Telekom AG,"München, Berlin, Darmstadt, Düsseldorf",Als (Junior) Consultant Big Data (m/w/d) wirken Sie federführend bei der Konzeption und Entwicklung von Systemen auf Basis Big Data Technologien mit.
59,Senior Consultant/Architekt BI und Big Data (m/w/d),msg systems ag,"Köln, Berlin, Bretten, Düsseldorf, Essen, Frankfurt/M., Hamburg, Köln, München, Stuttgart","Bei der fachlichen und technischen Beratung für Business Intelligence, Big Data, Big Data Analytics sowie IoT, Master Data Management und Data Quality Management bieten wir spannende und anspruchsvolle Aufgaben."
60,Physiker/ Mathematiker/ Naturwissenschaftler als Berater im Bereich Datenintegration (m/w/d),Senacor Technologies AG,"Berlin, Bonn, Frankfurt, Hamburg, Leipzig, München, Nürnberg, Stuttgart, Wien","Senacor Technologies AG * Berlin, Bonn, Frankfurt, Hamburg, Leipzig, München, Nürnberg, Stuttgart, Wien * Feste Anstellung * Vollzeit - Über Senacor"
61,Business Intelligence Consultant (m/w/d),Aroundhome,Berlin,"Aroundhome * Berlin * Feste Anstellung * Vollzeit - Aroundhome ist der größte Vermittler für Produkte und Dienstleistungen rund ums Haus in Deutschland, Österreich und der Schweiz und bald auch in ganz Europa."
62,AI Engineer/Data Scientist Natural Language Processing (m/w/d) Public Sector,Sopra Steria SE,"Bundesweit, Berlin, Frankfurt, Hamburg, Köln, Leipzig, München",Zielgerichtete Informationsgewinnung aus Text- und Sprachdaten mittels Data Mining und Text Mining * Anwendung und Weiterentwicklung von Natural Language Processing (NLP) Methoden und Werkzeugen insb. auf Basis von ...
63,Data Scientist Automotive (m/w/d),Sopra Steria SE,"Bundesweit, Berlin, Frankfurt, Hamburg, Köln, Leipzig, München","Unterstützung unserer namhaften Kunden bei der Analyse, Konzeption und Entwicklung von innovativen und zukunftsorientierten Data Science Lösungen"
64,Analyst (m/w/d) Data & Analytics,BearingPoint GmbH,"Berlin, Düsseldorf, Frankfurt am Main, München","Im Bereich Data & Analytics an den Standorten Berlin, Düsseldorf, Frankfurt oder München beinhalten unsere Projekte unter anderem die Definition und Aufnahme von Anforderungen für analytische ..."
65,Business Intelligence Engineer / Branche Banking (m/w/d),msg systems ag,"Berlin, Bretten, Frankfurt, Köln, München, Münster, Passau, Stuttgart","msg systems ag * Berlin, Bretten, Frankfurt, Köln, München, Münster, Passau, Stuttgart * Feste Anstellung * Vollzeit"
66,Analyst (m/w/d) für den Themenbereich Digital Consulting (Data Science) am Standort Berlin,BearingPoint GmbH,Berlin,"BearingPoint GmbH * Berlin * Feste Anstellung * Vollzeit - Design your own career. Make your point @ BearingPoint. Wir bieten Beratung, die Strategie mit Technologie vereint und verbinden Unternehmertum mit Innovationsgeist."
67,BI Data Analyst/Business Analyst (m/w/d),NEW YORKER,"Braunschweig, Berlin","Fundierte quantitative und analytische Fähigkeiten sowie idealerweise detaillierte Kenntnisse in Data Mining, OLAP, Optimierung, Statistik sowie entsprechender Tools (wie Power BI/DAX, R, ggf. Python)"
68,Senior Consultant (m/w/d) Risk Advisory – Data Science & Analytics,Deloitte,"Berlin, Hamburg, Leipzig, München","Arbeiten mit Data-Science-Plattformen wie z. B. Dataiku, SAS, IBM Watson"
69,Business Analyst / Branche Banking (m/w/d),msg systems ag,"Bretten, Berlin, Bretten, Frankfurt am Main, Köln, München, Münster, Passau, Stuttgart","msg systems ag * Bretten, Berlin, Bretten, Frankfurt am Main, Köln, München, Münster, Passau, Stuttgart * Feste Anstellung * Vollzeit"
70,Consultant Schwerpunkt Business Analyse Public Sector (m/w/d),msg systems ag,"Frankfurt/M., Berlin, Frankfurt/M., Hamburg, Hannover, Köln, München, Nürnberg, Schortens, Stuttgart","msg systems ag * Frankfurt/M., Berlin, Frankfurt/M., Hamburg, Hannover, Köln, München, Nürnberg, Schortens, Stuttgart * Feste Anstellung * Vollzeit - Sie suchen Aufgaben mit gesellschaftlicher Relevanz?"
71,IT Consultant w/m/d - Big Data,Computacenter AG & Co. oHG,"Berlin, Frankfurt, Hamburg, Hannover, Ludwigshafen, München, Nürnberg, Ratingen, Stuttgart",Sie unterstützen führende Unternehmen beim Aufbau von Big Data Infrastrukturen. * Sie unterstützen unsere Kunden bei der Analyse und Aufbereitung von Big-Data-Anforderungen.
