id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
68142,Cute sunny room in Friedrichshain,337021,Dayna,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.52489,13.45386,Private room,29,2,72,2019-04-23,0.84,1,37
68448,Studio in Prenzlauer Berg near popular Mauerpark,163384,Alan & Kasia,Pankow,Prenzlauer Berg Nord,52.5498,13.41596,Entire home/apt,84,3,254,2019-06-17,2.58,9,317
72079,"Italian Design at Kudamm ,WiFi DSL free",261488,P. Charlotte,Charlottenburg-Wilm.,Kantstraße,52.5078,13.31871,Entire home/apt,80,3,49,2019-06-09,0.65,1,292
73302,Penthouse-Loft  Berlin-Schöneberg,382638,Nad,Tempelhof - Schöneberg,Schöneberg-Nord,52.50105,13.35032,Entire home/apt,69,3,234,2019-07-07,2.30,1,248
74614,City apartment in Prenzlauer Berg,393047,Fatena,Pankow,Prenzlauer Berg Südwest,52.5377,13.40854,Entire home/apt,185,5,63,2019-04-29,0.74,1,329
80843,Berlin City Studio Apt.,437628,Oliver,Charlottenburg-Wilm.,Schmargendorf,52.48086,13.28998,Entire home/apt,49,2,84,2019-06-28,0.84,2,4
81049,Lux.2BR Apart.Berlin Mitte -Licensed!,249501,Elfie And  Paul,Mitte,Regierungsviertel,52.52184,13.39067,Entire home/apt,155,4,41,2019-01-02,0.42,1,230
81081,Beautiful Prenzlauer Berg Apt,425899,Bernd+Katja :-),Pankow,Prenzlauer Berg Nord,52.54968,13.41528,Entire home/apt,66,3,266,2019-07-02,2.66,1,105
82893,Apartment 2 Mitte,451311,Ruth,Mitte,Brunnenstr. Süd,52.532,13.38285,Entire home/apt,75,3,89,2019-07-03,0.91,3,288
83183,Garden Apartment-Prenzlauer Berg,453109,Angela L.,Pankow,Prenzlauer Berg Süd,52.53677,13.42447,Entire home/apt,53,2,244,2019-07-07,2.53,2,241
83568,Beautiful stylish Prenzlauer Berg rooftop apt.,455670,Olaf,Pankow,Helmholtzplatz,52.54485,13.41891,Entire home/apt,99,2,14,2019-07-05,1.47,1,198
83614,Spacious Prenzlauer Berg Apartment in Quiet Street,456085,Louis,Pankow,Helmholtzplatz,52.54622,13.41786,Entire home/apt,160,1,275,2019-06-30,2.73,2,293
85560,Apartment 1 in Berlin,451311,Ruth,Mitte,Brunnenstr. Süd,52.53182,13.3823,Entire home/apt,79,3,71,2019-07-07,1.39,3,294
86090,spacious and cozy living in PrenzlBerg,472567,Alexandra,Pankow,Prenzlauer Berg Nord,52.54584,13.42612,Entire home/apt,89,4,112,2019-06-25,1.14,4,85
86514,"Sunny room, Kreuzberg",464827,Hayley,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49821,13.44178,Private room,80,2,45,2019-01-01,0.45,1,365
87549,Independent room in green Kreuzberg,81113,Carol,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49616,13.37397,Private room,47,3,192,2019-07-04,1.92,1,307
89102,Bright loft in the Kastanienallee,485838,Michele,Pankow,Prenzlauer Berg Südwest,52.54053,13.40995,Entire home/apt,114,6,59,2019-05-12,0.59,4,1
91290,Gardenside flat for 2-3 guests,382397,Josep,Neukölln,Reuterstraße,52.49004,13.42619,Entire home/apt,60,2,44,2017-10-09,0.44,1,192
102882,STORAGE APARTMENT URBAN,86173,Sebastian,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48878,13.42196,Entire home/apt,506,3,112,2017-04-16,1.14,2,191
103602,Fabulous Room Mauerpark BerlinMitte,422837,Francesca,Pankow,Prenzlauer Berg Südwest,52.53947,13.41009,Private room,60,4,3,2014-10-01,0.03,1,238
103644,2 br Apt. at Kurfürstendamm with Wifi from July on,145808,Veronika,Charlottenburg-Wilm.,Halensee,52.49855,13.30273,Entire home/apt,45,70,32,2016-04-24,0.33,2,160
106331,Beautiful flat in Prenzlauer Berg,551159,Lauri,Pankow,Prenzlauer Berg Süd,52.5337,13.4367,Entire home/apt,82,60,92,2019-05-11,0.93,2,344
109658,Spacious Studio Apartment in Berlin,565578,Miriam,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.52426,13.45207,Entire home/apt,60,3,83,2019-06-23,0.86,1,175
113298,BERLIN GARDEN STUDIO,2058,Carmen,Charlottenburg-Wilm.,Kurfürstendamm,52.5035,13.3218,Private room,70,2,55,2019-06-25,0.56,1,348
114763,In the heart of Berlin!,582007,Julia,Tempelhof - Schöneberg,Schöneberg-Süd,52.48805,13.35325,Entire home/apt,135,3,68,2019-05-12,0.85,1,227
115576,Bed and Garden,584750,Axel,Pankow,Blankenfelde/Niederschönhausen,52.5815,13.39786,Entire home/apt,75,2,6,2019-06-26,0.08,1,292
116832,Clean & Spacious Kreuzberg Apt,590130,Oliver,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49094,13.39619,Entire home/apt,70,21,3,2015-08-01,0.05,1,43
117649,F43 - your base for Berlin,594164,Ralph&Maria,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.50004,13.44265,Entire home/apt,68,60,84,2017-08-15,0.85,1,170
125349,Cottage Berlin-Friedrichshagen,623521,Andre,Treptow - Köpenick,Friedrichshagen,52.45105,13.63528,Entire home/apt,80,2,37,2019-06-05,0.61,1,313
127708,Design Jewel in the midst of MITTE!,632174,Stéphanie,Mitte,Alexanderplatz,52.51965,13.41099,Entire home/apt,89,2,491,2019-06-24,5.26,5,262
128827,Gorgeous Home in the Heart of East Berlin,632971,Kai,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.50948,13.46119,Entire home/apt,59,7,18,2019-05-23,0.35,1,204
135097,Nähe KaDeWe & Kurfürstendamm,662534,Bernd,Tempelhof - Schöneberg,Schöneberg-Nord,52.50089,13.34692,Entire home/apt,119,1,205,2019-06-22,2.11,1,0
138955,Guest Apartment near Viktoriapark,677988,Pigi,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49097,13.37691,Entire home/apt,75,2,191,2016-05-29,1.95,1,0
